Store Name,CustomerNumber,Customer Account,COH,TOH,Hist,,
Pandora @ Ridge Hill,PANDORA/YONKERS,USR0046658,72,72,72,1,1
3841 Pandora Freehold,SMYTH/FREEHOLD,USR0008202,72,72,72,1,1
3896 Pandora @ Streets at Southpoint,STREETS,USR0008376,68,69,72,0.944444444,0.958333333
PANDORA @ The Avenue at Murfreesboro - Store #908,USR0046629,USR0046629,68,69,72,0.944444444,0.958333333
Pandora @ LaCenterra at Cinco Ranch - Store #917,USR0046631,USR0046631,70,71,72,0.972222222,0.986111111
PANDORA @ Renaissance at Colony Park - Store #780,USR0046633,USR0046633,71,72,72,0.986111111,1
PANDORA @ Clay Terrace - Store #926,USR0046635,USR0046635,72,72,72,1,1
PANDORA @ Hillside Village - Store #836,USR0046636,USR0046636,72,72,72,1,1
PANDORA @ Hudson Yards - Store #901,USR0046638,USR0046638,71,71,72,0.986111111,0.986111111
PANDORA @ Crocker Park - Store #932,USR0046672,USR0046672,70,71,72,0.972222222,0.986111111
